"","nlcd","elevation","aspect","slope","x","y","aspect_categorical","animal_id","use"
"24523",7,2069.81494140625,124.623611450195,6.54298114776611,-1127700,1724310,"E","D12",0
"21644",6,2080.06689453125,147.048248291016,5.3735556602478,-1127670,1724490,"S","D12",0
"25484",7,2061.65502929688,111.203720092773,5.59814500808716,-1127670,1724250,"E","D12",0
"25483",7,2065.25048828125,113.690956115723,7.20370626449585,-1127700,1724250,"E","D12",0
"17808",6,2084.20776367188,122.990287780762,5.32391977310181,-1127550,1724730,"E","D12",0
"21166",6,2080.19213867188,140.099838256836,6.12221002578735,-1127610,1724520,"S","D12",0
"23566",6,2066.89184570312,143.168716430664,7.44470167160034,-1127610,1724370,"S","D12",0
"24046",6,2063.67626953125,144.076293945312,5.54472541809082,-1127610,1724340,"S","D12",0
"27395",6,2074.95483398438,90.1446380615234,5.72312927246094,-1127940,1724130,"E","D12",0
"23089",7,2065.466796875,153.242126464844,4.77124881744385,-1127520,1724400,"S","D12",0
"25480",7,2067.76440429688,107.326583862305,3.22760248184204,-1127790,1724250,"E","D12",0
"22609",6,2068.5771484375,140.108322143555,6.58493995666504,-1127520,1724430,"S","D12",0
"17811",7,2079.86206054688,119.112915039062,3.40060329437256,-1127460,1724730,"E","D12",0
"20687",6,2081.14990234375,127.75415802002,6.30949401855469,-1127580,1724550,"E","D12",0
"27399",7,2067.6796875,106.787254333496,3.97885346412659,-1127820,1724130,"E","D12",0
"230891",7,2065.466796875,153.242126464844,4.77124881744385,-1127520,1724400,"S","D12",0
"254801",7,2067.76440429688,107.326583862305,3.22760248184204,-1127790,1724250,"E","D12",0
"28356",7,2072.58203125,83.4577407836914,6.00695180892944,-1127910,1724070,"E","D12",0
"25481",7,2066.92456054688,167.801818847656,3.35623669624329,-1127760,1724250,"S","D12",0
"24526",7,2061.92333984375,172.549194335938,2.70092844963074,-1127610,1724310,"S","D12",0
"25958",7,2071.48217773438,95.3284072875977,3.76746535301208,-1127850,1724220,"E","D12",0
"27396",7,2072.56201171875,100.791793823242,4.59419822692871,-1127910,1724130,"E","D12",0
"24044",6,2068.64624023438,122.66064453125,7.45777988433838,-1127670,1724340,"E","D12",0
"23561",7,2072.91455078125,184.961959838867,4.77656936645508,-1127760,1724370,"S","D12",0
"23084",6,2073.88696289062,144.783905029297,5.42117881774902,-1127670,1724400,"S","D12",0
"25485",7,2060.68041992188,193.680816650391,2.39239907264709,-1127640,1724250,"S","D12",0
"21170",6,2072.39599609375,104.843673706055,7.07176113128662,-1127490,1724520,"E","D12",0
